col 1,Time,col 2,col 3,col 4,col 5,col 6
222,09-Jan-21 01:55:32:088,00:00:06:52:671,44.763,0,23.49,0
223,09-Jan-21 01:55:33:943,00:00:06:54:526,44.756,0,23.49,0
224,09-Jan-21 01:55:35:799,00:00:06:56:382,44.75,0,23.489,0
225,09-Jan-21 01:55:37:656,00:00:06:58:239,44.743,0,23.489,0
226,09-Jan-21 01:55:39:511,00:00:07:00:094,44.738,0,23.489,0
227,09-Jan-21 01:55:41:369,00:00:07:01:952,44.732,0,23.487,0
228,09-Jan-21 01:55:43:224,00:00:07:03:807,44.727,0,23.482,0
229,09-Jan-21 01:55:45:082,00:00:07:05:665,44.721,0,23.479,0
230,09-Jan-21 01:55:46:937,00:00:07:07:520,44.715,0,23.477,0
231,09-Jan-21 01:55:48:793,00:00:07:09:376,44.71,0,23.479,0
232,09-Jan-21 01:55:50:650,00:00:07:11:233,44.705,0,23.478,0
233,09-Jan-21 01:55:52:507,00:00:07:13:090,44.7,0,23.477,0
234,09-Jan-21 01:55:54:363,00:00:07:14:946,44.695,0,23.477,0
235,09-Jan-21 01:55:56:219,00:00:07:16:802,44.69,0,23.478,0
236,09-Jan-21 01:55:58:076,00:00:07:18:659,44.686,0,23.478,0
237,09-Jan-21 01:55:59:931,00:00:07:20:514,44.681,0,23.478,0
238,09-Jan-21 01:56:01:787,00:00:07:22:370,44.676,0,23.48,0
239,09-Jan-21 01:56:03:643,00:00:07:24:226,44.67,0,23.481,0
240,09-Jan-21 01:56:05:498,00:00:07:26:081,44.665,0,23.481,0
241,09-Jan-21 01:56:07:355,00:00:07:27:938,44.659,0,23.481,0
242,09-Jan-21 01:56:09:211,00:00:07:29:794,44.654,0,23.483,0
243,09-Jan-21 01:56:11:067,00:00:07:31:650,44.647,0,23.483,0
244,09-Jan-21 01:56:12:924,00:00:07:33:507,44.642,0,23.485,0
245,09-Jan-21 01:56:14:781,00:00:07:35:364,44.636,0,23.487,0
246,09-Jan-21 01:56:16:638,00:00:07:37:221,44.631,0,23.486,0
247,09-Jan-21 01:56:18:495,00:00:07:39:078,44.625,0,23.482,0
248,09-Jan-21 01:56:20:351,00:00:07:40:934,44.62,0,23.48,0
249,09-Jan-21 01:56:22:207,00:00:07:42:790,44.616,0,23.477,0
250,09-Jan-21 01:56:24:064,00:00:07:44:647,44.611,0,23.475,0
251,09-Jan-21 01:56:25:921,00:00:07:46:504,44.606,0,23.473,0
252,09-Jan-21 01:56:27:777,00:00:07:48:360,44.601,0,23.472,0
253,09-Jan-21 01:56:29:633,00:00:07:50:216,44.597,0,23.471,0
254,09-Jan-21 01:56:31:488,00:00:07:52:071,44.592,0,23.474,0
255,09-Jan-21 01:56:33:345,00:00:07:53:928,44.589,0,23.476,0
256,09-Jan-21 01:56:35:202,00:00:07:55:785,44.586,0,23.476,0
257,09-Jan-21 01:56:37:058,00:00:07:57:641,44.582,0,23.476,0
258,09-Jan-21 01:56:38:915,00:00:07:59:498,44.579,0,23.478,0
259,09-Jan-21 01:56:40:772,00:00:08:01:355,44.576,0,23.481,0
